rating,stars,pitches,type,city,state
El Dedo Es la Llave,5.10,3.0,1,Sport,San Luis Valley,Colorado
Northwest Corner,5.8+,3.0,1,Trad,Boulder,Colorado
Heaven Can Wait,5.9,2.5,1,Trad,Estes Park Valley,Colorado
Justify,5.12b,3.4,1,Sport,Golden,Colorado
Tanqueray,5.11c R,2.5,1,Trad,Boulder,Colorado
Pondemonium,5.10d,3.8,1,"Trad, Sport",Lyons,Colorado
Summer Solstice,5.10d R,3.0,3,Trad,South Platte,Colorado
Betwixt'em,5.9,4.2,5,Trad,Estes Park Valley,Colorado
Russian Bride,5.11d,3.3,1,Sport,Boulder,Colorado
Bovine Impact,5.12c,3.5,1,Sport,Rifle,Colorado
Crucifix,5.8,2.9,1,Sport,Estes Park Valley,Colorado
Richter Scale,V10,3.4,,Boulder,Boulder,Colorado
